泰文	舊拼音(Sheet)	中文	課次	無法處理的音節
จะเอากี่ขวดล่ะ	cha ao ki khuat la	要幾瓶呢	中 1-7	ขวด
จะหมดอายุเมื่อไหร่	cha mot ayu muea rai	什麼時候會過期呢	中 1-7	หมด
งั้นเอาสองขวด	ngan ao song khuat	那麼要兩瓶	中 1-7	ขวด
ส่งออก	song ok	出口	中 1-8	ส่ง
สินค้าส่งออก	sinkha song ok	出口商品	中 1-8	ส่ง
รวมภาษีหรือยัง	ruam phasi rue yang	包含稅了嗎	中 1-8	รวม
โรงเรียนเอกชน	rongrian ekkachon	私立學校	中 1-8	ชน
โรงเรียนนานาชาติ	rongrian nanachat	國際學校	中 1-8	ชาติ
โรงพยาบาล	rongphayaban	醫院	中 1-8	พยา
โรงพยาบาลรัฐบาล	rongphayaban ratthaban	公立醫院	中 1-8	พยา
โรงพยาบาลเอกชน	rongphayaban ekkachon	私立醫院	中 1-8	ชน, พยา
ชิ้นส่วนคอม	chinsuan khom	電腦零件	中 1-8	ส่วน
โรงงานผลิตชิ้นส่วนคอม	rongngan phalit chinsuan khom	生產電腦零件的工廠	中 1-8	ส่วน
พอจบปริญญาตรี	pho cop parinya tri	一畢業於學士學位	中 1-8	จบ
เริ่มลดความอ้วน	roem lot khwam uan	開始減肥	中 1-8	ลด, อ้วน
พยายาม	phayayam	努力	中 1-8	พยา
พยายามเลิกสูบบุหรี่ 2 ปีแล้ว	phayayam loek sup buri song pi laeo	努力戒煙兩年了	中 1-8	พยา
เสียงดังมาก ทนไม่ไหวแล้ว	siang dang mak thon mai wai laeo	很大聲，受不了了	中 1-8	ทน
หัวหน้าขี้บ่นอยากลาออก	hua na khi bon yak la ok	主管愛抱怨想離職	中 1-8	บ่น
ตรวจ	truat	檢查	中 1-8	ตรวจ
ตรวจสุขภาพประจำปี	truat sukkhapap pra tsam pi	年度健康檢查	中 1-8	ตรวจ
ครูตรวจข้อสอบ	khru truat kho sop	老師檢查考題	中 1-8	ตรวจ
ตรวจกระเป๋าเดินทาง	truat krapao doen thang	檢查行李	中 1-8	ตรวจ
ระวังกินไม่หมด	rawang kin mai mot	小心吃不完	中 1-8	หมด
ปวดฟันเคี้ยวข้าวไม่ไหว	puat fan khiao khao mai wai	牙痛咬不動飯	中 1-8	ปวด
ฉันรู้สึกแน่นหน้าอก	chan ru suk naen na ok	我感到胸悶	中 1-8	อก
จด	jot	記 / 筆記	中 1-8	จด
ฟังไปจดไป	fang pai jot pai	一邊聽一邊記	中 1-8	จด
นักเรียนจดไม่ทัน	nak rian jot mai than	學生來不及記	中 1-8	จด
จดทะเบียนแต่งงาน	jot thabian taeng ngan	登記結婚	中 1-8	จด
จดทะเบียนบริษัท	jot thabian borisat	登記公司	中 1-8	จด, บริ
เตรียมตัวไปแฟนมีต	triam tua pai faen mit	準備去粉絲見面會	中 1-8	ต
รวม	ruam	包含	中 1-8	รวม
รวมค่าบริการกับรวมภาษีแล้ว	ruam kha borikan kap ruam pha si laew	包含服務費和稅金了	中 1-8	บริ, รวม
แต่ยังไม่รวมทิป	tae yang mai ruam thip	但還沒包含小費	中 1-8	รวม
ราคานี้ยังไม่รวมแวต	ra kha ni yang mai ruam waet	這個價格還不包含增值稅	中 1-8	รวม
บริการ	borikan	服務	中 1-8	บริ
ร้านนี้บริการเป็นกันเอง	ran ni borikan pen kan eng	這家店服務很親切	中 1-8	บริ
เด็กเสิร์ฟบริการแย่	dek saep borikan yae	服務生服務很糟糕	中 1-8	บริ
เจ้าของร้านบริการเยี่ยม	chao khong ran borikan yiem	餐廳老闆服務很棒	中 1-8	บริ
ยก	yok	舉 / 提 / 原諒	中 1-8	ยก
ยกโทษให้ผมนะครับ	yok thot hai phom na khrap	請原諒我	中 1-8	ยก
ยกตัวอย่าง	yok tua yang	舉例	中 1-8	ยก
ช่วยยกตัวอย่างให้ฟังหน่อย	chuai yok tua yang hai fang noi	請舉例給我聽一下	中 1-8	ยก
ช่วยยกกระเป๋าให้หน่อย	chuai yok kra pao hai noi	請幫我提行李	中 1-8	ยก
ตั้งบริษัท	ttang bo ri sat	設立公司	中 1-8	บริ
ตั้งบริษัทเป็นความฝันของเขา	ttang bo ri sat pen khwam fan khong khao	設立公司是他的夢想	中 1-8	บริ
อธิบาย	a thi bai	解釋	中 1-8	อธิ
ตั้งใจฟังครูอธิบาย	ttang chai fang khru a thi bai	認真聽老師解釋	中 1-8	อธิ
ส่งออก	song ok	出口	中 1-8	ส่ง
ผลิตส่งออก	pha lit song ok	外銷生產	中 1-8	ส่ง
ชิ้นส่วนคอม	chin suan khom	電腦零件	中 1-8	ส่วน
โรงงานผลิตชิ้นส่วนคอม	rong ngan pha lit chin suan khom	電腦零件生產工廠	中 1-8	ส่วน
แผนก	pha naek	部門	中 1-8	แผนก
แผนกเครื่องใช้ไฟฟ้า	pha naek khrueang chai fai fa	家電區	中 1-8	แผนก
เขาเป็นผู้จัดการแผนกบัญชี	khao pen phu chat kan pha naek ban chi	他是會計部經理	中 1-8	แผนก
แผนกหัวใจ	pha naek hua chai	心臟科	中 1-8	แผนก
แผนกหัวใจผู้ป่วยเยอะมาก	pha naek hua chai phu puai yoe mak	心臟科病人很多	中 1-8	แผนก
หลง	hlong	迷	中 1-8	หลง
หลงทาง	hlong thang	迷路	中 1-8	หลง
ขับรถหลงทางบ่อยๆ	khap rot hlong thang boi boi	常常開車迷路	中 1-8	หลง
หลงเชื่อ	hlong chuea	誤信	中 1-8	หลง
คนส่วนใหญ่จะหลงเชื่อคนปากหวาน	khon suan yai cha hlong chuea khon pak wan	大部分的人會誤信嘴巴甜的人	中 1-8	ส่วน, หลง
หลงรัก	hlong rak	愛上	中 1-8	หลง
ฉันก็หลงรักเขา	chan ko hlong rak khao	我就愛上他了	中 1-8	หลง
ระวังเขาจะทนไม่ไหวนา	ra wang khao cha thon mai wai na	小心他會受不了喔	中 1-8	ทน
ช่างกินเก่งจริงๆ	chang kin keng ching ching	真的很會吃	中 1-8	จริง, ๆ
ช่างน่ารักจริงๆ	chang na rak ching ching	真的很可愛	中 1-8	จริง, ๆ
ช่างเอาใจยากจริงๆ	chang ao chai yak ching ching	真的很難討好	中 1-8	จริง, ๆ
ฉันคิดว่าเขาไว้หนวดหล่อกว่า	chan khit wa khao wai nuat lo kwa	我認為他留鬍子比較帥	中 1-8	หนวด
ฉันคิดว่าพวกเรายังไม่สิ้นหวัง	chan khit wa phuak rao yang mai sin wang	我認為我們還沒絕望	中 1-8	พวก
ความสามารถ	khwam sa mat	能力	中 2-1	มารถ
ความสามารถของฉัน	khwam sa mat khong chan	我的能力（女性/通稱）	中 2-1	มารถ
ความสามารถของฉันสู้เขาไม่ได้	khwam sa mat khong chan su khao mai dai	我的能力比不上他	中 2-1	มารถ
ความสามารถของฉันสู้เขาได้	khwam sa mat khong chan su khao dai	我的能力比得上他	中 2-1	มารถ
ญาติ	yat	親戚	中 2-1	ญาติ
มีญาติจากเมืองไทยมาเยี่ยม	mi yat chak mueang thai ma yiam	有來自泰國的親戚來拜訪	中 2-1	ญาติ
มีญาติจากไต้หวันมาเยี่ยม	mi yat chak tai wan ma yiam	有來自台灣的親戚來拜訪	中 2-1	ญาติ
รสชาติเยี่ยมมาก	rot chat yiam mak	味道太棒了	中 2-1	ชาติ, รส
สมหวัง	som wang	如願	中 2-1	สม
ตอนนี้คบกับคนไต้หวันอยู่	ton ni khop kap khon taiwan yu	現在正在跟台灣人交往	中 2-1	คบ
พวกเราคบกัน 5 ปีแล้ว	phuak rao khop kan ha pi laeo	我們交往5年了	中 2-1	คบ, พวก
แสดงว่า	sa daeng wa	表示說	中 2-1	แสดง
แสดงว่าเขาชอบเธอ	sa daeng wa khao chop thoe	表示說他喜歡你	中 2-1	แสดง
แสดงว่าเขาไม่ไว้ใจคุณ	sa daeng wa khao mai wai jai khun	表示說他不信任你	中 2-1	แสดง
อดทนไว้ก่อน	ot thon wai kon	先忍著	中 2-1	ทน, อด
ช่วงนี้งานหายาก	chuang ni ngan ha yak	最近工作很難找	中 2-1	ช่วง
บังเอิญทำงานบริษัทเดียวกัน	bang oen tham ngan borisat diao kan	剛好在同一家公司工作	中 2-1	บริ
ฉันรับรองว่าคุณต้องสมหวังแน่นอน	chan rap rong wa khun tong som wang naenon	我保證你一定會如願	中 2-1	สม
ผมรับรองว่ารสชาตินี้ทุกคนชอบแน่นอน	phom rap rong wa rotchat ni thuk khon chop naenon	我（男性）保證這個味道大家一定會喜歡	中 2-1	ชาติ, รส
รอฝนหยุดก่อน	ro fon yut kon	先等雨停	中 2-1	ฝน
ทำหน้าอก	tham na ok	做胸部	中 2-1	อก
ขึ้นทางด่วน	khuen thang duan	上高速公路	中 2-1	ด่วน
จะขึ้นทางด่วนไหม	cha khuen thang duan mai	要上高速公路嗎	中 2-1	ด่วน
ค่าทางด่วน	kha thang duan	高速公路費	中 2-1	ด่วน
ทางด่วน	thang duan	高速公路	中 2-1	ด่วน
ขอด่วนค่ะ	kho duan kha	請快一點	中 2-1	ด่วน
ด่วนหน่อย	duan noi	急一點	中 2-1	ด่วน
ต้องลดน้ำหนัก	tong lot nam nak	必須減肥	中 2-1	ลด
ฝนตกหนักขึ้น	fon tok nak khuen	雨變大了	中 2-1	ฝน
ติดต่อสะดวกขึ้น	tit to saduak khuen	聯絡變得更方便	中 2-1	ดวก
ติดต่อไม่สะดวก	tit to mai saduak	聯絡不方便	中 2-1	ดวก
ยกโทษ	yok thot	原諒	中 2-1	ยก
จดทะเบียนแต่งงาน	jot thabian taengngan	登記結婚	中 2-1	จด
อ้วนขึ้น	uan khuen	變胖	中 2-1	อ้วน
เดือนตุลาคม	duan tulakhom	十月	中 2-1	คม
เดือนพฤศจิกายน	duan phruetsajikayon	十一月	中 2-1	พฤศ, ยน
ฝนตกหนักขึ้น	fon tok nak khuen	雨勢變大	中 2-1	ฝน
ฝนตกเบาลงแล้ว	fon tok bao long laew	雨勢變小了	中 2-1	ฝน
เขาออกจากบริษัทไปแล้ว	khao ok chak borisat pai laew	他離開公司了	中 2-1	บริ
ออกจากบริษัทเก่า	ok chak borisat kao	離開舊公司	中 2-1	บริ
ทำผิดกฎหมาย	tham phit kot mai	違法	中 2-1	กฎ
ผิดกฎหมาย	phit kot mai	違法	中 2-1	กฎ
ถูกกฎหมาย	thuk kot mai	合法	中 2-1	กฎ
สมัคร	samak	申請／應徵	中 2-4	สมัคร
สมัครอีเมล	samak i mel	申請／註冊 Email	中 2-4	สมัคร
สมัครเรียน	samak rian	報名上課	中 2-4	สมัคร
สมัครงาน	samak ngan	應徵工作	中 2-4	สมัคร
มีคนไปสมัครงานเยอะมาก	mi khon pai samak ngan yoe mak	有很多人去應徵工作	中 2-4	สมัคร
รับสมัคร	rap samak	徵聘／招募	中 2-4	สมัคร
พนักงาน	phanak ngan	職員	中 2-4	พนัก
พนักงานขาย	phanak ngan khai	銷售人員	中 2-4	พนัก
รับสมัครพนักงานขาย	rap samak phanak ngan khai	徵聘銷售人員	中 2-4	พนัก, สมัคร
