泰文	舊拼音(Sheet)	新拼音(目的達)	中文	來源	備註
รวม	ruam	rūam	包含/包括	engine-auto	
ราคานี้รวมค่าบริการหรือยัง	rakha ni ruam kha borikan rue yang	rā kā nī~ rūam kāˋ bhɔ̄ ri~ gān rɯ̄ˊ yang	這個價格包含服務費了嗎	derived	
ราคานี้รวมอะไรบ้าง	rakha ni ruam arai bang	rā kā nī~ rūam aˇ rai bhāngˋ	這個價格包含什麼	engine-auto	
รถรับส่ง	rot rap song	rot~ rap~ songˇ	接送車	derived	
รวมรถรับส่งกับอาหารเช้า	ruam rot rap song gap ahan chao	rūam rot~ rap~ songˇ gapˇ ā hānˊ chāu~	包含接送和早餐	derived	
ราคานี้รวมแวตแล้ว	rakha ni ruam waet laeo	rā kā nī~ rūam wɛ̄tˋ lɛ̄u~	這個價格已含增值稅	engine-auto	
ขอบคุณที่ใช้บริการ	khop khun thi chai borikan	kɔ̄pˇ kun tīˋ chai~ bhɔ̄ ri~ gān	感謝您使用我們的服務	derived	
บริการดีมาก	borikan di mak	bhɔ̄ ri~ gān dhī mākˋ	服務非常好	derived	
ยกโทษ	yok thot	yok~ tōtˋ	原諒	derived	
ขอโทษนะ ยกโทษให้ฉันนะคะ	kho thot na yok thot hai chan na kha	kɔ̄ˊ tōtˋ na~ yok~ tōtˋ haiˋ chanˊ na~ ka~	對不起，請原諒我	derived	
ไม่ ฉันไม่ยกโทษให้คุณ	mai chan mai yok thot hai khun	maiˋ chanˊ maiˋ yok~ tōtˋ haiˋ kun	不，我不原諒你	derived	
สงสัย	songsai	songˊ saiˊ	懷疑/有疑問	derived	
ถ้ามีอะไรสงสัย	tha mi arai songsai	tāˋ mī aˇ rai songˊ saiˊ	如果有任何疑問	derived	
ยกมือถามได้นะ	yok mue tham dai na	yok~ mɯ̄ tāmˊ dhaiˋ na~	可以舉手發問	derived	
ยกตัวอย่าง	yok tua yang	yok~ dūa yāngˋ	舉例	derived	
ช่วยยกตัวอย่างให้ฟังหน่อย	chuai yok tua yang hai fang noi	chūayˋ yok~ dūa yāngˋ haiˋ fang nɔ̄iˇ	請舉個例子給我聽聽	derived	
ตั้งบริษัท	tang borisat	dangˋ bhɔ̄ ri~ satˇ	設立公司	derived	
ใครตั้งบริษัท TSMC	khrai tang borisat TSMC	krai dangˋ bhɔ̄ ri~ satˇ TSMC	誰創立了TSMC	derived	
พวกเราเป็นตัวแทนบริษัท	phuak rao pen tuathaen borisat	pūakˋ rāu ben dūa tɛ̄n bhɔ̄ ri~ satˇ	我們是公司代表	derived	
ไปประชุมนานาชาติ	pai prachum nanachat	bai braˇ chum nā nā chātˋ	去參加國際會議	derived	
โรงงานของฉันผลิตชิ้นส่วนคอม	rongngan khong chan phalit chin suan khom	rōng ngān kɔ̄ngˊ chanˊ paˇ lit~ chin~ sūanˇ kɔ̄m	我的工廠生產電腦零件	engine-auto	
แผนก	phaenaek	paˇ nɛ̄kˋ	部門/科別	derived	
เขาถูกย้ายไปแผนกบัญชี	khao thuk yai pai phaenaek banchi	kāuˊ tūkˇ yāi~ bai paˇ nɛ̄kˋ bhan chī	他被調去會計部	derived	
แผนกหูคอจมูก	phaenaek hu kho chamuk	paˇ nɛ̄kˋ hūˊ kɔ̄ jaˇ mūkˋ	耳鼻喉科	derived	
ต้องไปแผนกสินค้าเด็ก	tong pai phaenaek sinkha dek	dɔ̄ngˋ bai paˇ nɛ̄kˋ sinˊ kā~ dhekˇ	必須去兒童用品部	derived	
หลงทาง	long thang	longˊ tāng	迷路	derived	
ถ้าคุณหลงทาง	tha khun long thang	tāˋ kun longˊ tāng	如果你迷路了	derived	
หลงเชื่อ	long chuea	longˊ chɯ̄aˋ	誤信	derived	
เขาหลอกคุณ อย่าหลงเชื่อ	khao lok khun ya long chuea	kāuˊ lɔ̄kˇ kun yāˋ longˊ chɯ̄aˋ	เขาหลอกคุณ อย่าหลงเชื่อ	derived	
หลงรัก	long rak	longˊ rak~	迷戀	derived	
แฟนคลับหลงรักเค้ามาก	faenkhlap long rak khao mak	fɛ̄n klap~ longˊ rak~ kāu~ mākˋ	粉絲非常迷戀他	derived	
อยากรู้คุณรักฉันจริงไหม	yak ru khun rak chan ching mai	yākˋ rū~ kun rak~ chanˊ jing maiˊ	想知道你是不是真的愛我	derived	
อธิบาย	athibai	aˇ ti~ bhāi	解釋	derived	
ช่วยอธิบายให้ฟังหน่อย	chuai athibai hai fang noi	chūayˋ aˇ ti~ bhāi haiˋ fang nɔ̄iˇ	請解釋給我聽	derived	
อธิบายหลายครั้งแล้ว	athibai lai khrang laeo	aˇ ti~ bhāi lāiˊ krang~ lɛ̄u~	已經解釋很多次了	derived	
ความสามารถ	khwam samat	kwām sāˊ mātˋ	能力	derived	
คุณมีความสามารถอะไรบ้าง	khun mi khwam samat arai bang	kun mī kwām sāˊ mātˋ aˇ rai bhāngˋ	你有什麼專長/能力	derived	
ความสามารถของคุณสูงมาก	khwam samat khong khun sung mak	kwām sāˊ mātˋ kɔ̄ngˊ kun sūngˊ mākˋ	你的能力痕高	derived	
ความสามารถของคุณยังไม่พอ	khwam samat khong khun yang mai pho	kwām sāˊ mātˋ kɔ̄ngˊ kun yang maiˋ pɔ̄	你的能力還不夠	derived	
พยายาม	phayayam	pa~ yā yām	努力/嘗試	derived	
พยายามลดความอ้วน	phayayam lot khwam uan	pa~ yā yām lot~ kwām ūanˋ	努力減肥	derived	
พยายามออกกำลังกาย	phayayam ok kamlang kai	pa~ yā yām ɔ̄kˇ gam lang gāi	努力運動	derived	
พยายามต่อไป สู้ๆนะ	phayayam topai susu na	pa~ yā yām dɔ̄ˇ bai sūˋ sūˋ na~	繼續努力，加油喔	derived	
คนไต้หวันส่วนใหญ่แพ้อากาศ	khon taiwan suan yai phae akat	kon daiˋ wanˊ sūanˇ yaiˇ pɛ̄~ ā gātˇ	大部分台灣人對天氣過敏	engine-auto	
ปวดหัว	puat hua	būatˇ hūaˊ	頭痛	engine-auto	
สมหวัง	som wang	somˊ wangˊ	如願以償	derived	
ขอให้สมหวัง	kho hai som wang	kɔ̄ˊ haiˋ somˊ wangˊ	祝你如願	derived	
หมดหวัง	mot wang	motˇ wangˊ	沒希望了	derived	
หมดเวลาแล้ว	mot wela laeo	motˇ wē lā lɛ̄u~	時間到了	derived	
หมดห่วง	mot huang	motˇ hūangˇ	放心了 / 不用擔心了	derived	
พ่อแม่หมดห่วง	pho mae mot huang	pɔ̄ˋ mɛ̄ˋ motˇ hūangˇ	父母放心了	derived	
หมดอายุ	mot a-yu	motˇ ā yu~	過期	derived	
ยังไม่หมดอายุ	yang maiหมดอายุ	yang maiˋ motˇ ā yu~	還沒過期	derived	
ช่างเอาใจเก่งจริงๆ	chang ao chai keng ching ching	chāngˋ au jai gēngˇ jing jing	真的很會討好人	derived	
ไปเยี่ยมญาติ	pai yiam yat	bai yīamˋ yātˋ	去探望親戚	derived	
อดทนไว้ก่อน	ot thon wai kon	otˇ ton wai~ gɔ̄nˇ	先忍耐一下	derived	
ไว้หนวด	wai nuat	wai~ nūatˇ	留鬍子	engine-auto	
ไม่ไว้หนวด	mai wai nuat	maiˋ wai~ nūatˇ	不留鬍子	engine-auto	
หนวดปลาหมึก	nuat pla muek	nūatˇ blā mɯkˇ	章魚鬚 / 魷魚鬚	engine-auto	
จริงหรอ	ching ro	jing rɔ̄ˊ	真的嗎	derived	
เราคบกันได้ไหม	rao khop kan dai mai	rāu kop~ gan dhaiˋ maiˊ	我們可以交往嗎	derived	
คบกันมา 7 ปีแล้ว	khop kan ma chet pi laeo	kop~ gan mā 7 bī lɛ̄u~	交往七年了	derived	
คบกันรักกันแล้วก็เลิกกัน	khop kan rak kan laeo ko loek kan	kop~ gan rak~ gan lɛ̄u~ gɔ̄ˋ lə̄kˋ gan	交往、相愛，然後分手	derived	
คนส่วนใหญ่แพ้อะไร	khon suan yai phae arai	kon sūanˇ yaiˇ pɛ̄~ aˇ rai	大部分的人對什麼過敏	engine-auto	
ฉันคิดว่าคนส่วนใหญ่แพ้อาหารทะเลนะ	chan khit wa khon suan yai phae ahan thale na	chanˊ kit~ wāˋ kon sūanˇ yaiˇ pɛ̄~ ā hānˊ ta~ lē na~	我覺得大部分的人對海鮮過敏	engine-auto	
ไหว้พระพรหม	wai phra phrom	waiˋ pra~ pom	拜四面佛	derived	
ขอให้สมหวังทุกอย่าง	kho hai som wang thuk yang	kɔ̄ˊ haiˋ somˊ wangˊ tuk~ yāngˋ	祝萬事如意	derived	
พวกเรายังไม่สิ้นหวัง	phuak rao yang mai sin wang	pūakˋ rāu yang maiˋ sinˋ wangˊ	我們還沒有絕望	engine-auto	
หมดอายุ	mot ayu	motˇ ā yu~	過期	derived	
ปลากระป๋องหมดอายุหรือยัง	pla krapong mot ayu rue yang	blā graˇ bɔ̄ngˊ motˇ ā yu~ rɯ̄ˊ yang	魚罐頭過期了嗎	derived	
ฉันคิดว่าหมดอายุแล้ว	chan khit wa mot ayu laeo	chanˊ kit~ wāˋ motˇ ā yu~ lɛ̄u~	我認為過期了	derived	
อาหารหมดอายุแล้วยังกินได้มั้ย	ahan mot ayu laeo yang kin dai mai	ā hānˊ motˇ ā yu~ lɛ̄u~ yang gin dhaiˋ mai~	食物過期了還可以吃嗎	derived	
หมดเวลาสอบแล้ว	mot wela sop laeo	motˇ wē lā sɔ̄pˇ lɛ̄u~	考試時間到了	derived	
หมดเวลาเรียนแล้ว	mot wela rian laeo	motˇ wē lā rīan lɛ̄u~	上課時間到了	derived	
หมดเวลาทำงานแล้ว	mot wela tham ngan laeo	motˇ wē lā tam ngān lɛ̄u~	下班時間到了	derived	
หมดห่วง	mot huang	motˇ hūangˇ	放心（不再擔心）	derived	
ลูกเลี้ยงตัวเองได้พ่อแม่ก็หมดห่วง	luk liang tua eng dai pho mae ko mot huang	lūkˋ līang~ dūa ēng dhaiˋ pɔ̄ˋ mɛ̄ˋ gɔ̄ˋ motˇ hūangˇ	孩子能養活自己，父母就放心了	derived	
เด็กอะไรช่างน่ารักจริงๆ	dek arai chang na rak ching ching	dhekˇ aˇ rai chāngˋ nāˋ rak~ jing jing	這小孩真可愛	derived	
ผู้หญิงอะไรช่างเอาใจยากจริงๆ	phu ying arai chang ao chai yak ching ching	pūˋ yingˊ aˇ rai chāngˋ au jai yākˋ jing jing	這女人真難討好	derived	
ร้านนี้ช่างอร่อยจริงๆ	ran ni chang aroi ching ching	rān~ nī~ chāngˋ aˇ rɔ̄iˋ jing jing	這家店真好吃	derived	
ญาติพี่น้อง	yat phi nong	yātˋ pīˋ nɔ̄ng~	親戚	derived	
ไปเยี่ยมญาติพี่น้อง	pai yiam yat phi nong	bai yīamˋ yātˋ pīˋ nɔ̄ng~	去探望親戚	derived	
มีญาติอยู่เมืองไทยมั้ย	mi yat yu mueang thai mai	mī yātˋ yūˋ mɯ̄ang tai mai~	在泰國有親戚嗎	derived	
ไปเยี่ยมญาติพี่น้องที่เมืองไทย	pai yiam yat phi nong thi mueang thai	bai yīamˋ yātˋ pīˋ nɔ̄ng~ tīˋ mɯ̄ang tai	去泰國探望親戚	derived	
ไปเยี่ยมเพื่อนที่โรงพยาบาล	pai yiam phuean thi rong phayaban	bai yīamˋ pɯ̄anˋ tīˋ rōng pa~ yā bhān	去醫院探望朋友	derived	
โรงพยาบาล	rong phayaban	rōng pa~ yā bhān	醫院	derived	
นางพยาบาล	nang phayaban	nāng pa~ yā bhān	護士	derived	
หมดเวลา	mot wela	motˇ wē lā	時間到了	derived	
หมดเวลาเยี่ยมไข้แล้วค่ะ	mot wela yiam khai laeo kha	motˇ wē lā yīamˋ kaiˋ lɛ̄u~ kaˋ	探病時間到了	derived	
คุณมีญาติที่เมืองไทยไหม	khun mi yat thi mueang thai mai	kun mī yātˋ tīˋ mɯ̄ang tai maiˊ	你在泰國有親戚嗎	derived	
ฉันไม่มีญาติที่เมืองไทยครับ	chan mai mi yat thi mueang thai khrap	chanˊ maiˋ mī yātˋ tīˋ mɯ̄ang tai krap~	我在泰國沒有親戚	derived	
อาทิตย์ที่แล้วญาติของผมมาเที่ยวไต้หวัน	athit thi laeo yat khong phom ma thiao taiwan	ā tit~ tīˋ lɛ̄u~ yātˋ kɔ̄ngˊ pomˊ mā tīauˋ daiˋ wanˊ	上個星期我的親戚來台灣玩	derived	
อยากลองไว้หนวด	yak long wai nuat	yākˋ lɔ̄ng wai~ nūatˇ	想試著留鬍子	engine-auto	
คบกัน 7 ปีแล้ว	khop kan chet pi laeo	kop~ gan 7 bī lɛ̄u~	交往7年了	derived	
ตอนนี้คบกับใครอยู่	ton ni khop kap khrai yu	dɔ̄n nī~ kop~ gapˇ krai yūˋ	現在正在跟誰交往	derived	
คบกับคนไทย	khop kap khon thai	kop~ gapˇ kon tai	跟泰國人交往	derived	
คบกันกี่ปีแล้ว	khop kan ki pi laeo	kop~ gan gīˇ bī lɛ̄u~	交往幾年了	derived	
คบกัน 8 ปีแล้ว	khop kan paet pi laeo	kop~ gan 8 bī lɛ̄u~	交往8年了	derived	
อย่าคบกับเขา	ya khop kap khao	yāˋ kop~ gapˇ kāuˊ	別跟他交往	derived	
อยากคบกับเขา	yak khop kap khao	yākˋ kop~ gapˇ kāuˊ	想跟他交往	derived	
ผมจะไม่คบคนเห็นแก่ตัว	phom cha mai khop khon hen kae tua	pomˊ jaˇ maiˋ kop~ kon henˊ gɛ̄ˇ dūa	我不會跟自私的人交往	derived	
คนจนชีวิตลำบาก	khon chon chiwit lambak	kon jon chī wit~ lam bhākˇ	窮人生活辛苦	derived	
ชีวิตลำบากจริงๆ	chiwit lambak ching ching	chī wit~ lam bhākˇ jing jing	生活真的很辛苦	derived	
คนตาบอดน่าสงสาร	khon ta bot na song san	kon dā bhɔ̄tˇ nāˋ songˊ sānˊ	盲人很可憐	derived	
ใกล้จะสอบต้องไปส่งลูกเรียนพิเศษ	klai cha sop tong pai song luk rian phiset	glaiˋ jaˇ sɔ̄pˇ dɔ̄ngˋ bai songˇ lūkˋ rīan pi~ sētˇ	快要考試了，必須送孩子去補習	derived	
ราคานี้เป็นราคารวม	rakha ni pen rakha ruam	rā kā nī~ ben rā kā rūam	這個價格是包含的價格	engine-auto	
รวมเฟอร์นิเจอร์แล้วนะ	ruam foe ni choe laeo na	rūam fə̄ ni~ jə̄ lɛ̄u~ na~	已經包含家具了喔	engine-auto	
แถวนั้นสะดวกมากเลย	thaeo nan saduak mak loei	tɛ̄uˊ nan~ saˇ dhūakˇ mākˋ lə̄i	那一帶非常方便	engine-auto	
มีทั้งโรงพยาบาลโรงแรมโรงเรียนโรงหนัง	mi thang rong phayaban rong raem rong rian rong nang	mī tang~ rōng pa~ yā bhān rōng rɛ̄m rōng rīan rōng nangˊ	有醫院、飯店、學校、電影院	derived	
เพื่อที่จะเตรียมสอบเข้ามหาลัยปีหน้า	phuea thi cha triam sop khao maha lai pi na	pɯ̄aˋ tīˋ jaˇ drīam sɔ̄pˇ kāuˋ ma~ hāˊ lai bī nāˋ	為了準備明年考大學	derived	
แป๊บๆลูกจะเข้ามหาลัยแล้ว	paep paep luk cha khao maha lai laeo	bɛ̄p~ bɛ̄p~ lūkˋ jaˇ kāuˋ ma~ hāˊ lai lɛ̄u~	一下子孩子就要上大學了	derived	
รสชาติพอดีไหม	rot chat pho di mai	rot~ chātˋ pɔ̄ dhī maiˊ	味道剛好嗎	derived	
รสชาติพอดีแล้ว	rot chat pho di laeo	rot~ chātˋ pɔ̄ dhī lɛ̄u~	味道已經剛好了	derived	
ส่วนใหญ่มีสระว่ายน้ำ	suan yai mi sa wai nam	sūanˇ yaiˇ mī sraˇ wāiˋ nām~	大部分有游泳池	engine-auto	
เยี่ยมญาติ	yiam yat	yīamˋ yātˋ	探望親戚	derived	
เดือนหน้าจะไปเยี่ยมญาติที่อังกฤษ	duan na cha pai yiam yat thi ang krit	dhɯ̄an nāˋ jaˇ bai yīamˋ yātˋ tīˋ ang gritˇ	下個月要去英國探望親戚	derived	
วิธีนี้เยี่ยมจริงๆ	wi thi ni yiam ching ching	wi~ tī nī~ yīamˋ jing jing	這個方法真的很棒	derived	
ออกเสียงเยี่ยมจริงๆ	ok siang yiam ching ching	ɔ̄kˇ sīangˊ yīamˋ jing jing	發音真的很棒	derived	
ถนนสายนี้ยาวมาก	tha non sai ni yao mak	taˇ non sāiˊ nī~ yāu mākˋ	這條馬路很長	derived	
เขามาทำงานสายตลอด	khao ma tham ngan sai ta lot	kāuˊ mā tam ngān sāiˊ daˇ lɔ̄tˋ	他來工作一直遲到	derived	
เขาเป็นคนมีความสามารถสูง	khao pen khon mi khwam samat sung	kāuˊ ben kon mī kwām sāˊ mātˋ sūngˊ	他是能力很高的人	derived	
ผมรับรองว่าเขาเป็นคนมีความสามารถสูง	phom rap rong wa khao pen khon mi khwam samat sung	pomˊ rap~ rɔ̄ng wāˋ kāuˊ ben kon mī kwām sāˊ mātˋ sūngˊ	我保證他是能力很高的人 (男)	derived	
เขาเป็นเศรษฐีเพราะว่าเขาขยัน	khao pen setthi phro wa khao khayan	kāuˊ ben srētˇ tīˊ prɔ~ wāˋ kāuˊ kaˇ yanˊ	他是富翁，因為他很用功	derived	
ซื้อบ้านแถมเฟอร์นิเจอร์สนใจไหม	sue ban thaem foe ni choe son chai mai	sɯ̄~ bhānˋ tɛ̄mˊ fə̄ ni~ jə̄ sonˊ jai maiˊ	買房送傢俱，有興趣嗎	derived	
